adm3_en,month,NO2,date
City of Davao,2018-10,4.655971362878167e-05,2018-10-01T00:00:00
City of General Santos,2018-10,4.411669192683856e-05,2018-10-01T00:00:00
City of Caloocan,2018-10,9.610112714546495e-05,2018-10-01T00:00:00
City of Makati,2018-10,0.0001362250257765306,2018-10-01T00:00:00
City of Malabon,2018-10,0.00011886974755890196,2018-10-01T00:00:00
City of Mandaluyong,2018-10,0.00014798181534022482,2018-10-01T00:00:00
City of Manila,2018-10,0.00015413226830968168,2018-10-01T00:00:00
City of Marikina,2018-10,0.0001114076486505589,2018-10-01T00:00:00
City of Muntinlupa,2018-10,8.094535903003078e-05,2018-10-01T00:00:00
City of Navotas,2018-10,0.0001117816822784046,2018-10-01T00:00:00
Pasay City,2018-10,0.00013951195722902905,2018-10-01T00:00:00
City of Pasig,2018-10,0.00012360563137030407,2018-10-01T00:00:00
Quezon City,2018-10,0.00011289344734139398,2018-10-01T00:00:00
City of San Juan,2018-10,0.00015115341522800176,2018-10-01T00:00:00
City of Taguig,2018-10,0.00010939795091509264,2018-10-01T00:00:00
City of Valenzuela,2018-10,0.00010594042819602226,2018-10-01T00:00:00
City of Baguio,2018-10,6.413472075559515e-05,2018-10-01T00:00:00
City of Butuan,2018-10,4.318799018822895e-05,2018-10-01T00:00:00
City of Cotabato,2018-10,4.655532235598503e-05,2018-10-01T00:00:00
City of Angeles,2018-10,6.921296736811099e-05,2018-10-01T00:00:00
City of Olongapo,2018-10,5.848006579050888e-05,2018-10-01T00:00:00
Ormoc City,2018-10,4.679360900534936e-05,2018-10-01T00:00:00
City of Tacloban,2018-10,4.687238068011435e-05,2018-10-01T00:00:00
City of Zamboanga,2018-10,4.310650331144384e-05,2018-10-01T00:00:00
City of Isabela,2018-10,4.304051907820429e-05,2018-10-01T00:00:00
Pateros,2018-10,0.0001126239331697852,2018-10-01T00:00:00
City of Puerto Princesa,2018-10,4.331891598158901e-05,2018-10-01T00:00:00
City of Lucena,2018-10,5.74094854235924e-05,2018-10-01T00:00:00
City of Bacolod,2018-10,5.460068801292064e-05,2018-10-01T00:00:00
City of Iloilo,2018-10,5.260609873695825e-05,2018-10-01T00:00:00
City of Cebu,2018-10,5.256666107337412e-05,2018-10-01T00:00:00
City of Lapu-Lapu,2018-10,5.332191974835848e-05,2018-10-01T00:00:00
City of Mandaue,2018-10,5.6664257177926976e-05,2018-10-01T00:00:00
City of Cagayan De Oro,2018-11,4.534570007981191e-05,2018-11-01T00:00:00
City of Iligan,2018-11,4.60909742914911e-05,2018-11-01T00:00:00
City of Davao,2018-11,4.270450684121189e-05,2018-11-01T00:00:00
City of General Santos,2018-11,4.241235451639512e-05,2018-11-01T00:00:00
City of Caloocan,2018-11,7.67025161826203e-05,2018-11-01T00:00:00
City of Makati,2018-11,0.0001042829530759341,2018-11-01T00:00:00
City of Malabon,2018-11,9.960290988769572e-05,2018-11-01T00:00:00
City of Mandaluyong,2018-11,0.00010495726077404574,2018-11-01T00:00:00
City of Manila,2018-11,0.00012950157637422102,2018-11-01T00:00:00
City of Marikina,2018-11,7.12520790892489e-05,2018-11-01T00:00:00
City of Muntinlupa,2018-11,5.939415212128135e-05,2018-11-01T00:00:00
City of Navotas,2018-11,9.705916563138088e-05,2018-11-01T00:00:00
Pasay City,2018-11,0.00011055182357346572,2018-11-01T00:00:00
City of Pasig,2018-11,8.355580207084199e-05,2018-11-01T00:00:00
Quezon City,2018-11,8.346553577257512e-05,2018-11-01T00:00:00
City of San Juan,2018-11,0.0001078810714111554,2018-11-01T00:00:00
City of Taguig,2018-11,7.62981252476677e-05,2018-11-01T00:00:00
City of Valenzuela,2018-11,8.84230137190596e-05,2018-11-01T00:00:00
City of Baguio,2018-11,5.41937528485985e-05,2018-11-01T00:00:00
City of Butuan,2018-11,3.99303605271434e-05,2018-11-01T00:00:00
City of Cotabato,2018-11,4.370604617085188e-05,2018-11-01T00:00:00
City of Angeles,2018-11,5.661049598482936e-05,2018-11-01T00:00:00
City of Olongapo,2018-11,5.20701595146432e-05,2018-11-01T00:00:00
Ormoc City,2018-11,3.943632553282128e-05,2018-11-01T00:00:00
City of Tacloban,2018-11,4.070681109169888e-05,2018-11-01T00:00:00
City of Zamboanga,2018-11,4.175738956664996e-05,2018-11-01T00:00:00
City of Isabela,2018-11,4.4270677860438e-05,2018-11-01T00:00:00
Pateros,2018-11,7.803679145763205e-05,2018-11-01T00:00:00
City of Puerto Princesa,2018-11,4.157311802212039e-05,2018-11-01T00:00:00
City of Lucena,2018-11,5.0405010132468055e-05,2018-11-01T00:00:00
City of Bacolod,2018-11,5.055907255886553e-05,2018-11-01T00:00:00
City of Iloilo,2018-11,4.914927330215299e-05,2018-11-01T00:00:00
City of Cebu,2018-11,4.470849620693043e-05,2018-11-01T00:00:00
City of Lapu-Lapu,2018-11,4.737698219287187e-05,2018-11-01T00:00:00
City of Mandaue,2018-11,5.055953452129923e-05,2018-11-01T00:00:00
City of Cagayan De Oro,2018-12,4.638033228838373e-05,2018-12-01T00:00:00
City of Iligan,2018-12,4.543755625084276e-05,2018-12-01T00:00:00
City of Davao,2018-12,4.278744561046728e-05,2018-12-01T00:00:00
City of General Santos,2018-12,4.147328099788102e-05,2018-12-01T00:00:00
City of Caloocan,2018-12,7.13781799793353e-05,2018-12-01T00:00:00
City of Makati,2018-12,8.911443071489699e-05,2018-12-01T00:00:00
City of Malabon,2018-12,8.827821514938123e-05,2018-12-01T00:00:00
City of Mandaluyong,2018-12,9.166070765643292e-05,2018-12-01T00:00:00
City of Manila,2018-12,0.00010560070765279748,2018-12-01T00:00:00
City of Marikina,2018-12,6.38312794398539e-05,2018-12-01T00:00:00
City of Muntinlupa,2018-12,6.905246248164882e-05,2018-12-01T00:00:00
City of Navotas,2018-12,8.943109933922508e-05,2018-12-01T00:00:00
Pasay City,2018-12,9.55553537040118e-05,2018-12-01T00:00:00
City of Pasig,2018-12,7.445406557789907e-05,2018-12-01T00:00:00
Quezon City,2018-12,7.333533449750659e-05,2018-12-01T00:00:00
City of San Juan,2018-12,9.257382383116496e-05,2018-12-01T00:00:00
City of Taguig,2018-12,7.517146084492405e-05,2018-12-01T00:00:00
City of Valenzuela,2018-12,7.620646804754448e-05,2018-12-01T00:00:00
City of Baguio,2018-12,6.285018270470623e-05,2018-12-01T00:00:00
City of Butuan,2018-12,3.999620454977733e-05,2018-12-01T00:00:00
City of Cotabato,2018-12,4.27408788269128e-05,2018-12-01T00:00:00
City of Angeles,2018-12,6.122266270114146e-05,2018-12-01T00:00:00
City of Olongapo,2018-12,5.967101130470697e-05,2018-12-01T00:00:00
Ormoc City,2018-12,4.203941893555803e-05,2018-12-01T00:00:00
City of Tacloban,2018-12,3.9970899901830976e-05,2018-12-01T00:00:00
City of Zamboanga,2018-12,3.994552389892492e-05,2018-12-01T00:00:00
City of Isabela,2018-12,4.194471208693474e-05,2018-12-01T00:00:00
Pateros,2018-12,7.401377911514967e-05,2018-12-01T00:00:00
City of Puerto Princesa,2018-12,4.0431482554299294e-05,2018-12-01T00:00:00
City of Lucena,2018-12,5.534849284867733e-05,2018-12-01T00:00:00
City of Bacolod,2018-12,5.2542608164632376e-05,2018-12-01T00:00:00
City of Iloilo,2018-12,4.6800196163730366e-05,2018-12-01T00:00:00
City of Cebu,2018-12,4.770517656375093e-05,2018-12-01T00:00:00
City of Lapu-Lapu,2018-12,4.729256048043941e-05,2018-12-01T00:00:00
City of Mandaue,2018-12,5.106406805533375e-05,2018-12-01T00:00:00
City of Cagayan De Oro,2019-01,4.307511752662735e-05,2019-01-01T00:00:00
City of Iligan,2019-01,4.20555348985107e-05,2019-01-01T00:00:00
City of Davao,2019-01,3.558047129301579e-05,2019-01-01T00:00:00
City of General Santos,2019-01,3.4398116492539314e-05,2019-01-01T00:00:00
City of Caloocan,2019-01,6.611378378483407e-05,2019-01-01T00:00:00
City of Makati,2019-01,8.158541646490458e-05,2019-01-01T00:00:00
City of Malabon,2019-01,8.018128540776572e-05,2019-01-01T00:00:00
City of Mandaluyong,2019-01,7.855707342164398e-05,2019-01-01T00:00:00
City of Manila,2019-01,9.088465295383466e-05,2019-01-01T00:00:00
City of Marikina,2019-01,5.884066490419189e-05,2019-01-01T00:00:00
City of Muntinlupa,2019-01,5.596351488374571e-05,2019-01-01T00:00:00
City of Navotas,2019-01,7.96754900449708e-05,2019-01-01T00:00:00
Pasay City,2019-01,8.389149390916872e-05,2019-01-01T00:00:00
City of Pasig,2019-01,6.5023601305425e-05,2019-01-01T00:00:00
Quezon City,2019-01,6.616854616896497e-05,2019-01-01T00:00:00
City of San Juan,2019-01,7.838659870570236e-05,2019-01-01T00:00:00
City of Taguig,2019-01,6.547243142938694e-05,2019-01-01T00:00:00
City of Valenzuela,2019-01,7.278247437344411e-05,2019-01-01T00:00:00
City of Baguio,2019-01,5.33186052638487e-05,2019-01-01T00:00:00
City of Butuan,2019-01,3.722637532520164e-05,2019-01-01T00:00:00
City of Cotabato,2019-01,3.913761835610285e-05,2019-01-01T00:00:00
City of Angeles,2019-01,5.51403231084935e-05,2019-01-01T00:00:00
City of Olongapo,2019-01,5.279039636408348e-05,2019-01-01T00:00:00
Ormoc City,2019-01,3.8052587608237554e-05,2019-01-01T00:00:00
City of Tacloban,2019-01,3.714708531282891e-05,2019-01-01T00:00:00
City of Zamboanga,2019-01,3.5661573356318704e-05,2019-01-01T00:00:00
City of Isabela,2019-01,3.845199048989868e-05,2019-01-01T00:00:00
Pateros,2019-01,6.442350940631413e-05,2019-01-01T00:00:00
City of Puerto Princesa,2019-01,3.756626999841739e-05,2019-01-01T00:00:00
City of Lucena,2019-01,4.2304792551175255e-05,2019-01-01T00:00:00
City of Bacolod,2019-01,4.3728870362374897e-05,2019-01-01T00:00:00
City of Iloilo,2019-01,3.957960573109984e-05,2019-01-01T00:00:00
City of Cebu,2019-01,4.047872778834221e-05,2019-01-01T00:00:00
City of Lapu-Lapu,2019-01,4.162535404706675e-05,2019-01-01T00:00:00
City of Mandaue,2019-01,4.348209077705332e-05,2019-01-01T00:00:00
City of Cagayan De Oro,2019-02,4.486368359422992e-05,2019-02-01T00:00:00
City of Iligan,2019-02,4.368770279999108e-05,2019-02-01T00:00:00
City of Davao,2019-02,3.815841192027134e-05,2019-02-01T00:00:00
City of General Santos,2019-02,4.087619000698959e-05,2019-02-01T00:00:00
City of Caloocan,2019-02,9.293439248014557e-05,2019-02-01T00:00:00
City of Makati,2019-02,9.612927557911976e-05,2019-02-01T00:00:00
City of Malabon,2019-02,0.00012659819097110436,2019-02-01T00:00:00
City of Mandaluyong,2019-02,0.00010128279731177851,2019-02-01T00:00:00
City of Manila,2019-02,0.0001419017113441095,2019-02-01T00:00:00
City of Marikina,2019-02,7.458120910264771e-05,2019-02-01T00:00:00
City of Muntinlupa,2019-02,5.798392293077428e-05,2019-02-01T00:00:00
City of Navotas,2019-02,0.00012112132895764617,2019-02-01T00:00:00
Pasay City,2019-02,9.745326935495146e-05,2019-02-01T00:00:00
City of Pasig,2019-02,7.854624564989537e-05,2019-02-01T00:00:00
Quezon City,2019-02,9.41766902532675e-05,2019-02-01T00:00:00
City of San Juan,2019-02,0.00011037076413315976,2019-02-01T00:00:00
City of Taguig,2019-02,6.959527246054421e-05,2019-02-01T00:00:00
City of Valenzuela,2019-02,0.00011284453281016606,2019-02-01T00:00:00
City of Baguio,2019-02,6.233811388892162e-05,2019-02-01T00:00:00
City of Butuan,2019-02,3.781486278280398e-05,2019-02-01T00:00:00
City of Cotabato,2019-02,4.762348003791383e-05,2019-02-01T00:00:00
City of Angeles,2019-02,6.902235687124641e-05,2019-02-01T00:00:00
City of Olongapo,2019-02,5.695086433204418e-05,2019-02-01T00:00:00
Ormoc City,2019-02,3.872500186079463e-05,2019-02-01T00:00:00
City of Tacloban,2019-02,3.844347674407873e-05,2019-02-01T00:00:00
City of Zamboanga,2019-02,3.821224370980595e-05,2019-02-01T00:00:00
City of Isabela,2019-02,4.206409935961479e-05,2019-02-01T00:00:00
Pateros,2019-02,7.198815152184138e-05,2019-02-01T00:00:00
City of Puerto Princesa,2019-02,3.973890088170662e-05,2019-02-01T00:00:00
City of Lucena,2019-02,5.006643472484954e-05,2019-02-01T00:00:00
City of Bacolod,2019-02,4.6468595379530816e-05,2019-02-01T00:00:00
City of Iloilo,2019-02,4.663361824554474e-05,2019-02-01T00:00:00
City of Cebu,2019-02,4.2683248181893e-05,2019-02-01T00:00:00
City of Lapu-Lapu,2019-02,4.3563426443384304e-05,2019-02-01T00:00:00
City of Mandaue,2019-02,4.642348665487863e-05,2019-02-01T00:00:00
City of Cagayan De Oro,2019-03,4.786638165161012e-05,2019-03-01T00:00:00
City of Iligan,2019-03,4.766964709176135e-05,2019-03-01T00:00:00
City of Davao,2019-03,3.895511314478813e-05,2019-03-01T00:00:00
City of General Santos,2019-03,4.0722854355428906e-05,2019-03-01T00:00:00
City of Caloocan,2019-03,0.00011767746770013584,2019-03-01T00:00:00
City of Makati,2019-03,0.0001155579334781827,2019-03-01T00:00:00
City of Malabon,2019-03,0.0001349956441881727,2019-03-01T00:00:00
City of Mandaluyong,2019-03,0.000129047272795992,2019-03-01T00:00:00
City of Manila,2019-03,0.00015450439169999055,2019-03-01T00:00:00
City of Marikina,2019-03,0.0001095135177872716,2019-03-01T00:00:00
City of Muntinlupa,2019-03,6.84732851479364e-05,2019-03-01T00:00:00
City of Navotas,2019-03,0.00012368451051346336,2019-03-01T00:00:00
Pasay City,2019-03,0.00011579133603527583,2019-03-01T00:00:00
City of Pasig,2019-03,9.846209897491634e-05,2019-03-01T00:00:00
Quezon City,2019-03,0.00012903500785356467,2019-03-01T00:00:00
City of San Juan,2019-03,0.00014618280157478795,2019-03-01T00:00:00
City of Taguig,2019-03,8.544318982769308e-05,2019-03-01T00:00:00
City of Valenzuela,2019-03,0.00012774837935143127,2019-03-01T00:00:00
City of Baguio,2019-03,6.366253507142064e-05,2019-03-01T00:00:00
City of Butuan,2019-03,3.854942468932577e-05,2019-03-01T00:00:00
City of Cotabato,2019-03,4.700297209607832e-05,2019-03-01T00:00:00
City of Angeles,2019-03,7.780526034306418e-05,2019-03-01T00:00:00
City of Olongapo,2019-03,6.108971573158276e-05,2019-03-01T00:00:00
Ormoc City,2019-03,4.107599927689938e-05,2019-03-01T00:00:00
City of Tacloban,2019-03,4.160622771808944e-05,2019-03-01T00:00:00
City of Zamboanga,2019-03,3.926319822803659e-05,2019-03-01T00:00:00
City of Isabela,2019-03,4.1388954951828826e-05,2019-03-01T00:00:00
Pateros,2019-03,9.009936154373484e-05,2019-03-01T00:00:00
City of Puerto Princesa,2019-03,4.053144041170953e-05,2019-03-01T00:00:00
City of Lucena,2019-03,5.774820760434169e-05,2019-03-01T00:00:00
City of Bacolod,2019-03,5.096927486740863e-05,2019-03-01T00:00:00
City of Iloilo,2019-03,4.811741603127344e-05,2019-03-01T00:00:00
City of Cebu,2019-03,4.440822553665404e-05,2019-03-01T00:00:00
City of Lapu-Lapu,2019-03,4.477323508265255e-05,2019-03-01T00:00:00
City of Mandaue,2019-03,4.92608457411441e-05,2019-03-01T00:00:00
City of Cagayan De Oro,2019-04,4.719784048294265e-05,2019-04-01T00:00:00
City of Iligan,2019-04,4.655881456078241e-05,2019-04-01T00:00:00
City of Davao,2019-04,3.796661748744963e-05,2019-04-01T00:00:00
City of General Santos,2019-04,3.660859797519491e-05,2019-04-01T00:00:00
City of Caloocan,2019-04,0.00011338726272894649,2019-04-01T00:00:00
City of Makati,2019-04,0.00010075118111238748,2019-04-01T00:00:00
City of Malabon,2019-04,0.00013631954712285896,2019-04-01T00:00:00
City of Mandaluyong,2019-04,0.0001141100842696784,2019-04-01T00:00:00
City of Manila,2019-04,0.0001336173885871255,2019-04-01T00:00:00
City of Marikina,2019-04,9.842643178588062e-05,2019-04-01T00:00:00
City of Muntinlupa,2019-04,6.927501524859343e-05,2019-04-01T00:00:00
City of Navotas,2019-04,0.00012289732285967637,2019-04-01T00:00:00
Pasay City,2019-04,0.0001016296367460416,2019-04-01T00:00:00
City of Pasig,2019-04,9.724237677807124e-05,2019-04-01T00:00:00
Quezon City,2019-04,0.00011842984849420656,2019-04-01T00:00:00
City of San Juan,2019-04,0.00012691552228344535,2019-04-01T00:00:00
City of Taguig,2019-04,8.23947080641473e-05,2019-04-01T00:00:00
City of Valenzuela,2019-04,0.0001252719103951038,2019-04-01T00:00:00
City of Baguio,2019-04,6.312904469703618e-05,2019-04-01T00:00:00
City of Butuan,2019-04,3.7002902583116193e-05,2019-04-01T00:00:00
City of Cotabato,2019-04,4.151824212247052e-05,2019-04-01T00:00:00
City of Angeles,2019-04,7.654403421864334e-05,2019-04-01T00:00:00
City of Olongapo,2019-04,6.895995245996915e-05,2019-04-01T00:00:00
Ormoc City,2019-04,4.03516094055162e-05,2019-04-01T00:00:00
City of Tacloban,2019-04,4.115733949868173e-05,2019-04-01T00:00:00
City of Zamboanga,2019-04,3.699546034989919e-05,2019-04-01T00:00:00
City of Isabela,2019-04,4.0864464314567386e-05,2019-04-01T00:00:00
Pateros,2019-04,8.739866555363608e-05,2019-04-01T00:00:00
City of Puerto Princesa,2019-04,4.01695669095693e-05,2019-04-01T00:00:00
City of Lucena,2019-04,5.496291013837253e-05,2019-04-01T00:00:00
City of Bacolod,2019-04,5.147402146072398e-05,2019-04-01T00:00:00
City of Iloilo,2019-04,5.303873834600032e-05,2019-04-01T00:00:00
